SampleID	Cluster
MP12871_S84	5
MP13265_S80	5
MP13438_S86	1
MP13594_S33	5
MP13807_S68	2
MP13828_S75	3
MP13863_S85	1
MP13939_S16	2
MP14009_S7	7
MP14047_S70	3
MP14096_S66	7
MP14129_S35	2
MP14293_S71	6
MP14372_S62	4
MP14484_S57	4
MP14685_S94	4
MP15119_S21	7
MP15154_S27	3
MP15264_S39	5
MP15289_S91	6
MP15311_S32	8
MP15544_S30	6
MP15616_S73	5
MP15640_S77	6
MP15754_S13	1
MP16230_S87	7
MP16257_S83	3
MP16322_S53	6
MP16390_S2	7
MP16410_S79	7
MP16495_S8	7
MP16506_S26	4
MP16570_S20	2
MP16674_S38	7
MP16952_S40	5
MP17118_S43	3
MP17171_S76	6
MP17221_S69	8
MP17229_S59	1
MP17354_S28	4
MP17515_S19	7
MP17830_S81	4
MP17836_S22	3
MP17968_S82	7
MP18056_S61	5
MP18118_S9	7
MP18131_S1	5
MP18324_S74	6
MP18336_S18	2
MP18580_S96	3
MP18614_S42	7
MP18727_S45	7
MP18769_S5	8
MP18936_S11	3
MP19118_S25	2
MP19417_S50	7
MP19538_S6	7
MP19635_S31	7
MP19725_S10	5
MP19749_S14	8
